Component,Purpose,Backend/Tech,Main Route
Inventory 24,Material tracking - set 24,SQL,/inventory-24
Financial Reports 24,"P&L, tax, forecasting - set 24",SQL,/reports-24
Client Portal 24,"Quotes, Invoices - set 24",Session/JWT,/portal/:clientId-24
Staff Portal 24,Job toolkit - set 24,PIN Access,/portal/:staffId-24
Data Tools 24,Upload/export CSV - set 24,Pandas,/data/upload-24
Services 24,Manage service templates - set 24,SQL,/services-24
Analytics 24,Growth & revenue - set 24,Plotly,/analytics-24
User Control 24,"Permissions, roles - set 24",Flask-Login,/admin/users-24
Photo Uploads 24,Before/after images - set 24,Cloud storage,/job/:id/photos-24
Email System 25,Mail.com SMTP Integration - set 25,SMTP,/send-invoice-25
Quote Builder 25,PDF + Email - set 25,WeasyPrint,/generate-quote-25
Invoice System 25,PDF + Scheduler - set 25,Custom,/generate-invoice-25
Client CRM 25,"Contact, project tracking - set 25",SQL,/clients-25
Staff CRM 25,"Roles, hours - set 25",SQL,/staff-25
Scheduler 25,Calendar with FullCalendar.js - set 25,JSON API,/calendar-25
Notifications 25,Toast + Mail/SMS - set 25,MailerLite/Twilio,/notifications-25
Checklist 25,Job-specific tasks - set 25,SQL,/jobs/:id/checklist-25
Inventory 25,Material tracking - set 25,SQL,/inventory-25
Financial Reports 25,"P&L, tax, forecasting - set 25",SQL,/reports-25
Client Portal 25,"Quotes, Invoices - set 25",Session/JWT,/portal/:clientId-25
Staff Portal 25,Job toolkit - set 25,PIN Access,/portal/:staffId-25
Data Tools 25,Upload/export CSV - set 25,Pandas,/data/upload-25
Services 25,Manage service templates - set 25,SQL,/services-25
Analytics 25,Growth & revenue - set 25,Plotly,/analytics-25
User Control 25,"Permissions, roles - set 25",Flask-Login,/admin/users-25
Photo Uploads 25,Before/after images - set 25,Cloud storage,/job/:id/photos-25
Email System 26,Mail.com SMTP Integration - set 26,SMTP,/send-invoice-26
Quote Builder 26,PDF + Email - set 26,WeasyPrint,/generate-quote-26
Invoice System 26,PDF + Scheduler - set 26,Custom,/generate-invoice-26
Client CRM 26,"Contact, project tracking - set 26",SQL,/clients-26
Staff CRM 26,"Roles, hours - set 26",SQL,/staff-26
Scheduler 26,Calendar with FullCalendar.js - set 26,JSON API,/calendar-26
Notifications 26,Toast + Mail/SMS - set 26,MailerLite/Twilio,/notifications-26
Checklist 26,Job-specific tasks - set 26,SQL,/jobs/:id/checklist-26
Inventory 26,Material tracking - set 26,SQL,/inventory-26
Financial Reports 26,"P&L, tax, forecasting - set 26",SQL,/reports-26
Client Portal 26,"Quotes, Invoices - set 26",Session/JWT,/portal/:clientId-26
Staff Portal 26,Job toolkit - set 26,PIN Access,/portal/:staffId-26
Data Tools 26,Upload/export CSV - set 26,Pandas,/data/upload-26
Services 26,Manage service templates - set 26,SQL,/services-26
Analytics 26,Growth & revenue - set 26,Plotly,/analytics-26
User Control 26,"Permissions, roles - set 26",Flask-Login,/admin/users-26
Photo Uploads 26,Before/after images - set 26,Cloud storage,/job/:id/photos-26
Email System 27,Mail.com SMTP Integration - set 27,SMTP,/send-invoice-27
Quote Builder 27,PDF + Email - set 27,WeasyPrint,/generate-quote-27
Invoice System 27,PDF + Scheduler - set 27,Custom,/generate-invoice-27
Client CRM 27,"Contact, project tracking - set 27",SQL,/clients-27
Staff CRM 27,"Roles, hours - set 27",SQL,/staff-27
Scheduler 27,Calendar with FullCalendar.js - set 27,JSON API,/calendar-27
Notifications 27,Toast + Mail/SMS - set 27,MailerLite/Twilio,/notifications-27
Checklist 27,Job-specific tasks - set 27,SQL,/jobs/:id/checklist-27
Inventory 27,Material tracking - set 27,SQL,/inventory-27
Financial Reports 27,"P&L, tax, forecasting - set 27",SQL,/reports-27
Client Portal 27,"Quotes, Invoices - set 27",Session/JWT,/portal/:clientId-27
Staff Portal 27,Job toolkit - set 27,PIN Access,/portal/:staffId-27
Data Tools 27,Upload/export CSV - set 27,Pandas,/data/upload-27
Services 27,Manage service templates - set 27,SQL,/services-27
Analytics 27,Growth & revenue - set 27,Plotly,/analytics-27
User Control 27,"Permissions, roles - set 27",Flask-Login,/admin/users-27
Photo Uploads 27,Before/after images - set 27,Cloud storage,/job/:id/photos-27
Email System 28,Mail.com SMTP Integration - set 28,SMTP,/send-invoice-28
Quote Builder 28,PDF + Email - set 28,WeasyPrint,/generate-quote-28
Invoice System 28,PDF + Scheduler - set 28,Custom,/generate-invoice-28
Client CRM 28,"Contact, project tracking - set 28",SQL,/clients-28
Staff CRM 28,"Roles, hours - set 28",SQL,/staff-28
Scheduler 28,Calendar with FullCalendar.js - set 28,JSON API,/calendar-28
Notifications 28,Toast + Mail/SMS - set 28,MailerLite/Twilio,/notifications-28
Checklist 28,Job-specific tasks - set 28,SQL,/jobs/:id/checklist-28
Inventory 28,Material tracking - set 28,SQL,/inventory-28
Financial Reports 28,"P&L, tax, forecasting - set 28",SQL,/reports-28
Client Portal 28,"Quotes, Invoices - set 28",Session/JWT,/portal/:clientId-28
Staff Portal 28,Job toolkit - set 28,PIN Access,/portal/:staffId-28
Data Tools 28,Upload/export CSV - set 28,Pandas,/data/upload-28
Services 28,Manage service templates - set 28,SQL,/services-28
Analytics 28,Growth & revenue - set 28,Plotly,/analytics-28
User Control 28,"Permissions, roles - set 28",Flask-Login,/admin/users-28
Photo Uploads 28,Before/after images - set 28,Cloud storage,/job/:id/photos-28
Email System 29,Mail.com SMTP Integration - set 29,SMTP,/send-invoice-29
Quote Builder 29,PDF + Email - set 29,WeasyPrint,/generate-quote-29
Invoice System 29,PDF + Scheduler - set 29,Custom,/generate-invoice-29
Client CRM 29,"Contact, project tracking - set 29",SQL,/clients-29
Staff CRM 29,"Roles, hours - set 29",SQL,/staff-29
Scheduler 29,Calendar with FullCalendar.js - set 29,JSON API,/calendar-29
Notifications 29,Toast + Mail/SMS - set 29,MailerLite/Twilio,/notifications-29
Checklist 29,Job-specific tasks - set 29,SQL,/jobs/:id/checklist-29
Inventory 29,Material tracking - set 29,SQL,/inventory-29
Financial Reports 29,"P&L, tax, forecasting - set 29",SQL,/reports-29
Client Portal 29,"Quotes, Invoices - set 29",Session/JWT,/portal/:clientId-29
Staff Portal 29,Job toolkit - set 29,PIN Access,/portal/:staffId-29
Data Tools 29,Upload/export CSV - set 29,Pandas,/data/upload-29
Services 29,Manage service templates - set 29,SQL,/services-29
Analytics 29,Growth & revenue - set 29,Plotly,/analytics-29
User Control 29,"Permissions, roles - set 29",Flask-Login,/admin/users-29
Photo Uploads 29,Before/after images - set 29,Cloud storage,/job/:id/photos-29
Email System 30,Mail.com SMTP Integration - set 30,SMTP,/send-invoice-30
Quote Builder 30,PDF + Email - set 30,WeasyPrint,/generate-quote-30
Invoice System 30,PDF + Scheduler - set 30,Custom,/generate-invoice-30
Client CRM 30,"Contact, project tracking - set 30",SQL,/clients-30
Staff CRM 30,"Roles, hours - set 30",SQL,/staff-30
Scheduler 30,Calendar with FullCalendar.js - set 30,JSON API,/calendar-30
Notifications 30,Toast + Mail/SMS - set 30,MailerLite/Twilio,/notifications-30
Checklist 30,Job-specific tasks - set 30,SQL,/jobs/:id/checklist-30
Inventory 30,Material tracking - set 30,SQL,/inventory-30
Financial Reports 30,"P&L, tax, forecasting - set 30",SQL,/reports-30
Client Portal 30,"Quotes, Invoices - set 30",Session/JWT,/portal/:clientId-30
Staff Portal 30,Job toolkit - set 30,PIN Access,/portal/:staffId-30
Data Tools 30,Upload/export CSV - set 30,Pandas,/data/upload-30
Services 30,Manage service templates - set 30,SQL,/services-30
Analytics 30,Growth & revenue - set 30,Plotly,/analytics-30
User Control 30,"Permissions, roles - set 30",Flask-Login,/admin/users-30
Photo Uploads 30,Before/after images - set 30,Cloud storage,/job/:id/photos-30
Email System 31,Mail.com SMTP Integration - set 31,SMTP,/send-invoice-31
Quote Builder 31,PDF + Email - set 31,WeasyPrint,/generate-quote-31
Invoice System 31,PDF + Scheduler - set 31,Custom,/generate-invoice-31
Client CRM 31,"Contact, project tracking - set 31",SQL,/clients-31
Staff CRM 31,"Roles, hours - set 31",SQL,/staff-31
Scheduler 31,Calendar with FullCalendar.js - set 31,JSON API,/calendar-31
Notifications 31,Toast + Mail/SMS - set 31,MailerLite/Twilio,/notifications-31
Checklist 31,Job-specific tasks - set 31,SQL,/jobs/:id/checklist-31
Inventory 31,Material tracking - set 31,SQL,/inventory-31
Financial Reports 31,"P&L, tax, forecasting - set 31",SQL,/reports-31
Client Portal 31,"Quotes, Invoices - set 31",Session/JWT,/portal/:clientId-31
Staff Portal 31,Job toolkit - set 31,PIN Access,/portal/:staffId-31
Data Tools 31,Upload/export CSV - set 31,Pandas,/data/upload-31
Services 31,Manage service templates - set 31,SQL,/services-31
Analytics 31,Growth & revenue - set 31,Plotly,/analytics-31
User Control 31,"Permissions, roles - set 31",Flask-Login,/admin/users-31
Photo Uploads 31,Before/after images - set 31,Cloud storage,/job/:id/photos-31
Email System 32,Mail.com SMTP Integration - set 32,SMTP,/send-invoice-32
Quote Builder 32,PDF + Email - set 32,WeasyPrint,/generate-quote-32
Invoice System 32,PDF + Scheduler - set 32,Custom,/generate-invoice-32
Client CRM 32,"Contact, project tracking - set 32",SQL,/clients-32
Staff CRM 32,"Roles, hours - set 32",SQL,/staff-32
Scheduler 32,Calendar with FullCalendar.js - set 32,JSON API,/calendar-32
Notifications 32,Toast + Mail/SMS - set 32,MailerLite/Twilio,/notifications-32
Checklist 32,Job-specific tasks - set 32,SQL,/jobs/:id/checklist-32
Inventory 32,Material tracking - set 32,SQL,/inventory-32
Financial Reports 32,"P&L, tax, forecasting - set 32",SQL,/reports-32
Client Portal 32,"Quotes, Invoices - set 32",Session/JWT,/portal/:clientId-32
Staff Portal 32,Job toolkit - set 32,PIN Access,/portal/:staffId-32
Data Tools 32,Upload/export CSV - set 32,Pandas,/data/upload-32
Services 32,Manage service templates - set 32,SQL,/services-32
Analytics 32,Growth & revenue - set 32,Plotly,/analytics-32
User Control 32,"Permissions, roles - set 32",Flask-Login,/admin/users-32
Photo Uploads 32,Before/after images - set 32,Cloud storage,/job/:id/photos-32
Email System 33,Mail.com SMTP Integration - set 33,SMTP,/send-invoice-33
Quote Builder 33,PDF + Email - set 33,WeasyPrint,/generate-quote-33
Invoice System 33,PDF + Scheduler - set 33,Custom,/generate-invoice-33
Client CRM 33,"Contact, project tracking - set 33",SQL,/clients-33
Staff CRM 33,"Roles, hours - set 33",SQL,/staff-33
Scheduler 33,Calendar with FullCalendar.js - set 33,JSON API,/calendar-33
Notifications 33,Toast + Mail/SMS - set 33,MailerLite/Twilio,/notifications-33
Checklist 33,Job-specific tasks - set 33,SQL,/jobs/:id/checklist-33
Inventory 33,Material tracking - set 33,SQL,/inventory-33
Financial Reports 33,"P&L, tax, forecasting - set 33",SQL,/reports-33
Client Portal 33,"Quotes, Invoices - set 33",Session/JWT,/portal/:clientId-33
Staff Portal 33,Job toolkit - set 33,PIN Access,/portal/:staffId-33
Data Tools 33,Upload/export CSV - set 33,Pandas,/data/upload-33
Services 33,Manage service templates - set 33,SQL,/services-33
Analytics 33,Growth & revenue - set 33,Plotly,/analytics-33
User Control 33,"Permissions, roles - set 33",Flask-Login,/admin/users-33
Photo Uploads 33,Before/after images - set 33,Cloud storage,/job/:id/photos-33
Email System 34,Mail.com SMTP Integration - set 34,SMTP,/send-invoice-34
Quote Builder 34,PDF + Email - set 34,WeasyPrint,/generate-quote-34
Invoice System 34,PDF + Scheduler - set 34,Custom,/generate-invoice-34
Client CRM 34,"Contact, project tracking - set 34",SQL,/clients-34
Staff CRM 34,"Roles, hours - set 34",SQL,/staff-34
Scheduler 34,Calendar with FullCalendar.js - set 34,JSON API,/calendar-34
Notifications 34,Toast + Mail/SMS - set 34,MailerLite/Twilio,/notifications-34
Checklist 34,Job-specific tasks - set 34,SQL,/jobs/:id/checklist-34
Inventory 34,Material tracking - set 34,SQL,/inventory-34
Financial Reports 34,"P&L, tax, forecasting - set 34",SQL,/reports-34
Client Portal 34,"Quotes, Invoices - set 34",Session/JWT,/portal/:clientId-34
Staff Portal 34,Job toolkit - set 34,PIN Access,/portal/:staffId-34
Data Tools 34,Upload/export CSV - set 34,Pandas,/data/upload-34
Services 34,Manage service templates - set 34,SQL,/services-34
Analytics 34,Growth & revenue - set 34,Plotly,/analytics-34
User Control 34,"Permissions, roles - set 34",Flask-Login,/admin/users-34
Photo Uploads 34,Before/after images - set 34,Cloud storage,/job/:id/photos-34
Email System 35,Mail.com SMTP Integration - set 35,SMTP,/send-invoice-35
Quote Builder 35,PDF + Email - set 35,WeasyPrint,/generate-quote-35
Invoice System 35,PDF + Scheduler - set 35,Custom,/generate-invoice-35
Client CRM 35,"Contact, project tracking - set 35",SQL,/clients-35
Staff CRM 35,"Roles, hours - set 35",SQL,/staff-35
Scheduler 35,Calendar with FullCalendar.js - set 35,JSON API,/calendar-35
Notifications 35,Toast + Mail/SMS - set 35,MailerLite/Twilio,/notifications-35
Checklist 35,Job-specific tasks - set 35,SQL,/jobs/:id/checklist-35
Inventory 35,Material tracking - set 35,SQL,/inventory-35
Financial Reports 35,"P&L, tax, forecasting - set 35",SQL,/reports-35
Client Portal 35,"Quotes, Invoices - set 35",Session/JWT,/portal/:clientId-35
Staff Portal 35,Job toolkit - set 35,PIN Access,/portal/:staffId-35
Data Tools 35,Upload/export CSV - set 35,Pandas,/data/upload-35
Services 35,Manage service templates - set 35,SQL,/services-35
Analytics 35,Growth & revenue - set 35,Plotly,/analytics-35
User Control 35,"Permissions, roles - set 35",Flask-Login,/admin/users-35
Photo Uploads 35,Before/after images - set 35,Cloud storage,/job/:id/photos-35
Email System 36,Mail.com SMTP Integration - set 36,SMTP,/send-invoice-36
Quote Builder 36,PDF + Email - set 36,WeasyPrint,/generate-quote-36
Invoice System 36,PDF + Scheduler - set 36,Custom,/generate-invoice-36
Client CRM 36,"Contact, project tracking - set 36",SQL,/clients-36
Staff CRM 36,"Roles, hours - set 36",SQL,/staff-36
Scheduler 36,Calendar with FullCalendar.js - set 36,JSON API,/calendar-36
Notifications 36,Toast + Mail/SMS - set 36,MailerLite/Twilio,/notifications-36
Checklist 36,Job-specific tasks - set 36,SQL,/jobs/:id/checklist-36
Inventory 36,Material tracking - set 36,SQL,/inventory-36
Financial Reports 36,"P&L, tax, forecasting - set 36",SQL,/reports-36
Client Portal 36,"Quotes, Invoices - set 36",Session/JWT,/portal/:clientId-36
Staff Portal 36,Job toolkit - set 36,PIN Access,/portal/:staffId-36
Data Tools 36,Upload/export CSV - set 36,Pandas,/data/upload-36
Services 36,Manage service templates - set 36,SQL,/services-36
Analytics 36,Growth & revenue - set 36,Plotly,/analytics-36
User Control 36,"Permissions, roles - set 36",Flask-Login,/admin/users-36
Photo Uploads 36,Before/after images - set 36,Cloud storage,/job/:id/photos-36
Email System 37,Mail.com SMTP Integration - set 37,SMTP,/send-invoice-37
Quote Builder 37,PDF + Email - set 37,WeasyPrint,/generate-quote-37
Invoice System 37,PDF + Scheduler - set 37,Custom,/generate-invoice-37
Client CRM 37,"Contact, project tracking - set 37",SQL,/clients-37
Staff CRM 37,"Roles, hours - set 37",SQL,/staff-37
Scheduler 37,Calendar with FullCalendar.js - set 37,JSON API,/calendar-37
Notifications 37,Toast + Mail/SMS - set 37,MailerLite/Twilio,/notifications-37
Checklist 37,Job-specific tasks - set 37,SQL,/jobs/:id/checklist-37
Inventory 37,Material tracking - set 37,SQL,/inventory-37
Financial Reports 37,"P&L, tax, forecasting - set 37",SQL,/reports-37
Client Portal 37,"Quotes, Invoices - set 37",Session/JWT,/portal/:clientId-37
Staff Portal 37,Job toolkit - set 37,PIN Access,/portal/:staffId-37
Data Tools 37,Upload/export CSV - set 37,Pandas,/data/upload-37
Services 37,Manage service templates - set 37,SQL,/services-37
Analytics 37,Growth & revenue - set 37,Plotly,/analytics-37
User Control 37,"Permissions, roles - set 37",Flask-Login,/admin/users-37
Photo Uploads 37,Before/after images - set 37,Cloud storage,/job/:id/photos-37
Email System 38,Mail.com SMTP Integration - set 38,SMTP,/send-invoice-38
Quote Builder 38,PDF + Email - set 38,WeasyPrint,/generate-quote-38
Invoice System 38,PDF + Scheduler - set 38,Custom,/generate-invoice-38
Client CRM 38,"Contact, project tracking - set 38",SQL,/clients-38
Staff CRM 38,"Roles, hours - set 38",SQL,/staff-38
Scheduler 38,Calendar with FullCalendar.js - set 38,JSON API,/calendar-38
Notifications 38,Toast + Mail/SMS - set 38,MailerLite/Twilio,/notifications-38
Checklist 38,Job-specific tasks - set 38,SQL,/jobs/:id/checklist-38
Inventory 38,Material tracking - set 38,SQL,/inventory-38
Financial Reports 38,"P&L, tax, forecasting - set 38",SQL,/reports-38
Client Portal 38,"Quotes, Invoices - set 38",Session/JWT,/portal/:clientId-38
Staff Portal 38,Job toolkit - set 38,PIN Access,/portal/:staffId-38
Data Tools 38,Upload/export CSV - set 38,Pandas,/data/upload-38
Services 38,Manage service templates - set 38,SQL,/services-38
Analytics 38,Growth & revenue - set 38,Plotly,/analytics-38
User Control 38,"Permissions, roles - set 38",Flask-Login,/admin/users-38
Photo Uploads 38,Before/after images - set 38,Cloud storage,/job/:id/photos-38
Email System 39,Mail.com SMTP Integration - set 39,SMTP,/send-invoice-39
Quote Builder 39,PDF + Email - set 39,WeasyPrint,/generate-quote-39
Invoice System 39,PDF + Scheduler - set 39,Custom,/generate-invoice-39
Client CRM 39,"Contact, project tracking - set 39",SQL,/clients-39
Staff CRM 39,"Roles, hours - set 39",SQL,/staff-39
Scheduler 39,Calendar with FullCalendar.js - set 39,JSON API,/calendar-39
Notifications 39,Toast + Mail/SMS - set 39,MailerLite/Twilio,/notifications-39
Checklist 39,Job-specific tasks - set 39,SQL,/jobs/:id/checklist-39
Inventory 39,Material tracking - set 39,SQL,/inventory-39
Financial Reports 39,"P&L, tax, forecasting - set 39",SQL,/reports-39
Client Portal 39,"Quotes, Invoices - set 39",Session/JWT,/portal/:clientId-39
Staff Portal 39,Job toolkit - set 39,PIN Access,/portal/:staffId-39
Data Tools 39,Upload/export CSV - set 39,Pandas,/data/upload-39
Services 39,Manage service templates - set 39,SQL,/services-39
Analytics 39,Growth & revenue - set 39,Plotly,/analytics-39
User Control 39,"Permissions, roles - set 39",Flask-Login,/admin/users-39
Photo Uploads 39,Before/after images - set 39,Cloud storage,/job/:id/photos-39
Email System 40,Mail.com SMTP Integration - set 40,SMTP,/send-invoice-40
Quote Builder 40,PDF + Email - set 40,WeasyPrint,/generate-quote-40
Invoice System 40,PDF + Scheduler - set 40,Custom,/generate-invoice-40
Client CRM 40,"Contact, project tracking - set 40",SQL,/clients-40
Staff CRM 40,"Roles, hours - set 40",SQL,/staff-40
Scheduler 40,Calendar with FullCalendar.js - set 40,JSON API,/calendar-40
Notifications 40,Toast + Mail/SMS - set 40,MailerLite/Twilio,/notifications-40
Checklist 40,Job-specific tasks - set 40,SQL,/jobs/:id/checklist-40
Inventory 40,Material tracking - set 40,SQL,/inventory-40
Financial Reports 40,"P&L, tax, forecasting - set 40",SQL,/reports-40
Client Portal 40,"Quotes, Invoices - set 40",Session/JWT,/portal/:clientId-40
Staff Portal 40,Job toolkit - set 40,PIN Access,/portal/:staffId-40
Data Tools 40,Upload/export CSV - set 40,Pandas,/data/upload-40
Services 40,Manage service templates - set 40,SQL,/services-40
Analytics 40,Growth & revenue - set 40,Plotly,/analytics-40
User Control 40,"Permissions, roles - set 40",Flask-Login,/admin/users-40
Photo Uploads 40,Before/after images - set 40,Cloud storage,/job/:id/photos-40
Email System 41,Mail.com SMTP Integration - set 41,SMTP,/send-invoice-41
Quote Builder 41,PDF + Email - set 41,WeasyPrint,/generate-quote-41
Invoice System 41,PDF + Scheduler - set 41,Custom,/generate-invoice-41
Client CRM 41,"Contact, project tracking - set 41",SQL,/clients-41
Staff CRM 41,"Roles, hours - set 41",SQL,/staff-41
Scheduler 41,Calendar with FullCalendar.js - set 41,JSON API,/calendar-41
Notifications 41,Toast + Mail/SMS - set 41,MailerLite/Twilio,/notifications-41
Checklist 41,Job-specific tasks - set 41,SQL,/jobs/:id/checklist-41
Inventory 41,Material tracking - set 41,SQL,/inventory-41
Financial Reports 41,"P&L, tax, forecasting - set 41",SQL,/reports-41
Client Portal 41,"Quotes, Invoices - set 41",Session/JWT,/portal/:clientId-41
Staff Portal 41,Job toolkit - set 41,PIN Access,/portal/:staffId-41
Data Tools 41,Upload/export CSV - set 41,Pandas,/data/upload-41
Services 41,Manage service templates - set 41,SQL,/services-41
Analytics 41,Growth & revenue - set 41,Plotly,/analytics-41
User Control 41,"Permissions, roles - set 41",Flask-Login,/admin/users-41
Photo Uploads 41,Before/after images - set 41,Cloud storage,/job/:id/photos-41
Email System 42,Mail.com SMTP Integration - set 42,SMTP,/send-invoice-42
Quote Builder 42,PDF + Email - set 42,WeasyPrint,/generate-quote-42
Invoice System 42,PDF + Scheduler - set 42,Custom,/generate-invoice-42
Client CRM 42,"Contact, project tracking - set 42",SQL,/clients-42
Staff CRM 42,"Roles, hours - set 42",SQL,/staff-42
Scheduler 42,Calendar with FullCalendar.js - set 42,JSON API,/calendar-42
Notifications 42,Toast + Mail/SMS - set 42,MailerLite/Twilio,/notifications-42
Checklist 42,Job-specific tasks - set 42,SQL,/jobs/:id/checklist-42
Inventory 42,Material tracking - set 42,SQL,/inventory-42
Financial Reports 42,"P&L, tax, forecasting - set 42",SQL,/reports-42
Client Portal 42,"Quotes, Invoices - set 42",Session/JWT,/portal/:clientId-42
Staff Portal 42,Job toolkit - set 42,PIN Access,/portal/:staffId-42
Data Tools 42,Upload/export CSV - set 42,Pandas,/data/upload-42
Services 42,Manage service templates - set 42,SQL,/services-42
Analytics 42,Growth & revenue - set 42,Plotly,/analytics-42
User Control 42,"Permissions, roles - set 42",Flask-Login,/admin/users-42
Photo Uploads 42,Before/after images - set 42,Cloud storage,/job/:id/photos-42
Email System 43,Mail.com SMTP Integration - set 43,SMTP,/send-invoice-43
Quote Builder 43,PDF + Email - set 43,WeasyPrint,/generate-quote-43
Invoice System 43,PDF + Scheduler - set 43,Custom,/generate-invoice-43
Client CRM 43,"Contact, project tracking - set 43",SQL,/clients-43
Staff CRM 43,"Roles, hours - set 43",SQL,/staff-43
Scheduler 43,Calendar with FullCalendar.js - set 43,JSON API,/calendar-43
Notifications 43,Toast + Mail/SMS - set 43,MailerLite/Twilio,/notifications-43
Checklist 43,Job-specific tasks - set 43,SQL,/jobs/:id/checklist-43
Inventory 43,Material tracking - set 43,SQL,/inventory-43
Financial Reports 43,"P&L, tax, forecasting - set 43",SQL,/reports-43
Client Portal 43,"Quotes, Invoices - set 43",Session/JWT,/portal/:clientId-43
Staff Portal 43,Job toolkit - set 43,PIN Access,/portal/:staffId-43
Data Tools 43,Upload/export CSV - set 43,Pandas,/data/upload-43
Services 43,Manage service templates - set 43,SQL,/services-43
Analytics 43,Growth & revenue - set 43,Plotly,/analytics-43
User Control 43,"Permissions, roles - set 43",Flask-Login,/admin/users-43
Photo Uploads 43,Before/after images - set 43,Cloud storage,/job/:id/photos-43
Email System 44,Mail.com SMTP Integration - set 44,SMTP,/send-invoice-44
Quote Builder 44,PDF + Email - set 44,WeasyPrint,/generate-quote-44
Invoice System 44,PDF + Scheduler - set 44,Custom,/generate-invoice-44
Client CRM 44,"Contact, project tracking - set 44",SQL,/clients-44
Staff CRM 44,"Roles, hours - set 44",SQL,/staff-44
Scheduler 44,Calendar with FullCalendar.js - set 44,JSON API,/calendar-44
Notifications 44,Toast + Mail/SMS - set 44,MailerLite/Twilio,/notifications-44
Checklist 44,Job-specific tasks - set 44,SQL,/jobs/:id/checklist-44
Inventory 44,Material tracking - set 44,SQL,/inventory-44
Financial Reports 44,"P&L, tax, forecasting - set 44",SQL,/reports-44
Client Portal 44,"Quotes, Invoices - set 44",Session/JWT,/portal/:clientId-44
Staff Portal 44,Job toolkit - set 44,PIN Access,/portal/:staffId-44
Data Tools 44,Upload/export CSV - set 44,Pandas,/data/upload-44
Services 44,Manage service templates - set 44,SQL,/services-44
Analytics 44,Growth & revenue - set 44,Plotly,/analytics-44
User Control 44,"Permissions, roles - set 44",Flask-Login,/admin/users-44
Photo Uploads 44,Before/after images - set 44,Cloud storage,/job/:id/photos-44
Email System 45,Mail.com SMTP Integration - set 45,SMTP,/send-invoice-45
Quote Builder 45,PDF + Email - set 45,WeasyPrint,/generate-quote-45
Invoice System 45,PDF + Scheduler - set 45,Custom,/generate-invoice-45
Client CRM 45,"Contact, project tracking - set 45",SQL,/clients-45
Staff CRM 45,"Roles, hours - set 45",SQL,/staff-45
Scheduler 45,Calendar with FullCalendar.js - set 45,JSON API,/calendar-45
Notifications 45,Toast + Mail/SMS - set 45,MailerLite/Twilio,/notifications-45
Checklist 45,Job-specific tasks - set 45,SQL,/jobs/:id/checklist-45
Inventory 45,Material tracking - set 45,SQL,/inventory-45
Financial Reports 45,"P&L, tax, forecasting - set 45",SQL,/reports-45
Client Portal 45,"Quotes, Invoices - set 45",Session/JWT,/portal/:clientId-45
Staff Portal 45,Job toolkit - set 45,PIN Access,/portal/:staffId-45
Data Tools 45,Upload/export CSV - set 45,Pandas,/data/upload-45
Services 45,Manage service templates - set 45,SQL,/services-45
Analytics 45,Growth & revenue - set 45,Plotly,/analytics-45
User Control 45,"Permissions, roles - set 45",Flask-Login,/admin/users-45
Photo Uploads 45,Before/after images - set 45,Cloud storage,/job/:id/photos-45
Email System 46,Mail.com SMTP Integration - set 46,SMTP,/send-invoice-46
Quote Builder 46,PDF + Email - set 46,WeasyPrint,/generate-quote-46
Invoice System 46,PDF + Scheduler - set 46,Custom,/generate-invoice-46
Client CRM 46,"Contact, project tracking - set 46",SQL,/clients-46
Staff CRM 46,"Roles, hours - set 46",SQL,/staff-46
Scheduler 46,Calendar with FullCalendar.js - set 46,JSON API,/calendar-46
Notifications 46,Toast + Mail/SMS - set 46,MailerLite/Twilio,/notifications-46
Checklist 46,Job-specific tasks - set 46,SQL,/jobs/:id/checklist-46
Inventory 46,Material tracking - set 46,SQL,/inventory-46
Financial Reports 46,"P&L, tax, forecasting - set 46",SQL,/reports-46
Client Portal 46,"Quotes, Invoices - set 46",Session/JWT,/portal/:clientId-46
Staff Portal 46,Job toolkit - set 46,PIN Access,/portal/:staffId-46
Data Tools 46,Upload/export CSV - set 46,Pandas,/data/upload-46
Services 46,Manage service templates - set 46,SQL,/services-46
Analytics 46,Growth & revenue - set 46,Plotly,/analytics-46
User Control 46,"Permissions, roles - set 46",Flask-Login,/admin/users-46
Photo Uploads 46,Before/after images - set 46,Cloud storage,/job/:id/photos-46
Email System 47,Mail.com SMTP Integration - set 47,SMTP,/send-invoice-47
Quote Builder 47,PDF + Email - set 47,WeasyPrint,/generate-quote-47
Invoice System 47,PDF + Scheduler - set 47,Custom,/generate-invoice-47
Client CRM 47,"Contact, project tracking - set 47",SQL,/clients-47
Staff CRM 47,"Roles, hours - set 47",SQL,/staff-47
Scheduler 47,Calendar with FullCalendar.js - set 47,JSON API,/calendar-47
Notifications 47,Toast + Mail/SMS - set 47,MailerLite/Twilio,/notifications-47
Checklist 47,Job-specific tasks - set 47,SQL,/jobs/:id/checklist-47
Inventory 47,Material tracking - set 47,SQL,/inventory-47
Financial Reports 47,"P&L, tax, forecasting - set 47",SQL,/reports-47
Client Portal 47,"Quotes, Invoices - set 47",Session/JWT,/portal/:clientId-47
Staff Portal 47,Job toolkit - set 47,PIN Access,/portal/:staffId-47
Data Tools 47,Upload/export CSV - set 47,Pandas,/data/upload-47
Services 47,Manage service templates - set 47,SQL,/services-47
Analytics 47,Growth & revenue - set 47,Plotly,/analytics-47
User Control 47,"Permissions, roles - set 47",Flask-Login,/admin/users-47
Photo Uploads 47,Before/after images - set 47,Cloud storage,/job/:id/photos-47
